id,event_id,user_id,rating,comment,share_comment_publicly,created_at,updated_at
1,4dc60709-3167-41bb-aa8f-653175b97d40,49af6a16-f923-4210-8c56-e311e38c564d,3,"Bon thème, mais le rythme pourrait être mieux équilibré. Catégorie : Networking. Point de référence : Speed meeting forum projets - édition 0900.",True,2026-04-16 08:06:10.528167+00:00,2026-04-20 08:27:00.547180+00:00
2,40d339c6-9f7e-4c65-80aa-eeed3589bc0a,eb85b268-bb88-4119-939d-492d2322518f,4,Bonne animation avec des points pratiques. Catégorie : Culture d’entreprise. Point de référence : Rencontre culture interne ambassadeurs culture - édition 0406.,False,2026-04-07 23:16:05.320988+00:00,2026-04-10 02:13:16.585497+00:00
3,0a0c2bd6-9d51-441b-83d0-68db4cd99256,50e23573-ed49-4a5a-a274-62ac3d92fa00,2,Organisation perfectible et interaction limitée. Catégorie : Culture d’entreprise. Point de référence : Rencontre culture interne onboarding culturel - édition 0105.,False,2026-03-09 17:38:25.811973+00:00,2026-03-13 00:02:47.126103+00:00
4,359e99c9-a8e0-464c-a3e4-0cf90413eda0,e9bcf6db-9a70-402b-96e0-5fad1e21ca31,3,Expérience satisfaisante avec davantage d’exemples souhaités. Catégorie : Conférence. Point de référence : Keynote interne finance durable - IoT - édition 0998.,False,2026-04-09 22:37:38.064115+00:00,2026-04-13 04:43:44.979915+00:00
5,14a26d46-5b31-499f-ad00-fc30c8e863e4,8d2bc111-e2d5-4410-8e67-899490f0e458,4,Événement intéressant et globalement réussi. Catégorie : RSE. Point de référence : Atelier RSE économie d’énergie - édition 0966.,False,2026-04-27 20:00:38.498176+00:00,2026-04-28 04:19:08.203172+00:00
6,53b72b57-ba17-47d8-ba23-2382ac956667,9ac7d884-9c16-4fa3-b896-884afda9c096,2,Session trop courte pour couvrir le sujet correctement. Catégorie : Atelier. Point de référence : Atelier amélioration continue - édition 0117.,True,2026-04-13 01:48:30.435838+00:00,2026-04-21 07:36:12.740499+00:00
7,359e99c9-a8e0-464c-a3e4-0cf90413eda0,c1e9f1c5-3a1d-407e-9767-7cb7c9089296,2,Objectifs utiles mais présentation à clarifier. Catégorie : Conférence. Point de référence : Keynote interne finance durable - IoT - édition 0998.,False,2026-04-09 10:54:40.134697+00:00,2026-04-10 00:47:08.738196+00:00
8,32550296-6435-4ef2-90e1-028656282c7f,28ac5ef3-c8dc-4aa9-97a4-4bd90a55268b,4,Événement intéressant et globalement réussi. Catégorie : Networking. Point de référence : Forum d’échanges petit-déjeuner business - édition 0357.,False,2026-03-24 18:19:26.193613+00:00,2026-03-26 06:38:33.680947+00:00
9,73ed9e10-d7dd-4f35-812a-0836380719a5,7120f862-693b-4518-8e4c-e2bfe7963695,5,"Excellente expérience, contenu clair et directement utile. Catégorie : Webinaire. Point de référence : Session en ligne bien-être au travail - édition 0366.",False,2026-04-11 23:35:20.769249+00:00,2026-04-17 12:36:09.778349+00:00
10,fb518144-8d76-42a9-a016-6da13e385137,b945f48a-ccc4-43f6-928b-e2c1f46146b6,2,Objectifs utiles mais présentation à clarifier. Catégorie : Networking. Point de référence : Forum d’échanges partage d’expérience - Support client - édition 0533.,False,2026-04-20 07:15:59.455613+00:00,2026-04-22 00:07:52.687622+00:00
